foodId,Title,Category,Ingredients,Total_Ingredients,Steps,Total_Steps,Loves
60,sate kambing tusuk,kambing,"daging kambing ,   marinasi , bawang putih , kecap manis sedap  gula  garam ,   bumbu halus , bawang merah , bawang putih , cabai rawit blh tmbh sesui , gula garamkecap manis  penyedap klo mw",9,"1) Note : klo mau lbh empuk bgt blh di kasi nanas parut skitar 10 - 15 mnitan dlu... Dagingx jngn di cuci biar g amis
2) Iris daging melawan serat.. Beri bumbu marinasi aduk rata simpan di ciller 30 mnitan..
3) Lalu kluarkan bakar deh... Pakai arang lbh enak
4) Goreng bawang merah + putih + cabai.. Bntr aja.. Haluskan.. Tumis dg 1 - 2 sdm minyak.. Masukan daging skalian.. Aduk"" kasi air agak banyak kasi gula garam + kecap.. Blh tmbh penyedap... Kecilkan api ungkep hingga meresap",4,134
68,makaroni telor,telur,"genggam makaroni elbow , telur , garam , kaldu bubuk merica , bumbu tabur balado cabe bubuk",4,"1) Didihkan air lalu beri garam dan sedikit minyak, rebus makaroni hingga empuk, tiriskan
2) Kocok telur dgn diberi kaldu bubuk dan merica
3) Panaskan sedikit minyak goreng lalu masukan makaroni, tumis sebentar kemudian masukan kocokan telur, aduk2 hingga matang, matikan kompor
4) Beri bumbu tabur dan cabe bubuk sesuai selera
5) Sajikan hangat",5,129
73,pindang telur,telur,"telur ayam rebus buang kulitnya , teh celup sariwangi , gula merah sisir , gula pasir , kecap manis , serai geprek , daun salam , garam kaldu , air",9,"1) Campur semua bahan..dan bumbu taruh si wadah.. aning pake wajan.... rebus hingga air habis atau tinggal sedikit dan bumbu meresap
2) Sajikan",3,124
79,dadar tahu telur,telur,"tahu putih , telur , kocok lepas , cabe merah giling , batang daun bawang , garam , kaldu jamur",5,"1) Hancurkan tahu dg garpu. Campur telur dg semua bahan. Panaskan pan, beri secukupnya minyak, tuang adonan, goreng hingga satu sisi mulai mengeras n kecokelatan. Balik, goreng hingga matang. Sajikan.
2) Note: kalo gk asa cabe merah giling bisa diganti dg irisan cabe merah/ rawit.",2,120
81,tempe goreng telur,tempe,"papan tempe , telur , tepung terigu , bawang putih ulek halus , merica kaldu bubuk",5,"1) Kukus tempe kemudian potong2 memanjang seperti stik
2) Kocok telur, terigu dan bumbu2, biarkan tetap ada gerindilnya
3) Masukan tempe ke telur kemudian goreng dgn api sedang hingga kuning keemasan
4) Angkat dan tiriskan
5) Sajikan hangat dgn saus sambal",5,119
84,telur acak mixed sayuran,telur,"telur , mixed sayuran beku wortel , jagung , buncis , polong , bawang putih , cincang halus , bawang merah , garam , gula putih , merica bubuk , btng daun bawang",6,"1) Tumis bawang putih dan bawang merah, tumis hingga bumbu harum. Masukan campuran sayuran beku, garam, gula, merica bubuk, tambahkan sedikit air, masak hingga airnya surut dan sayuran matang. Masukan daun bawang dan telur, lalu langsung di acak-acak bersamaan sayurannya, masak sampai telur matang seperti telur orak arik. Angkat dan sajikan.",1,118
94,telur krispi,telur," telur dadar , telur , kocok lepas , garam , merica bubuk kaldu jamur ,  pencelup , telur , kocok kepas , kecap asin , tepung bumbu krispi me kobe",7,"1) Buat telur dadar tipis aja, aq jadi 2 lembar. Potong"" telur dadar sesuai selera. Celup k dlm telur kocoktepungtelur kocoktepung, lalu goreng dengan minyak panas api kecil yaa...
2) Sajikan dengan saus sambal dan mayones jk sukaa... bisa buwat lauk sarapan ato cemilan...",2,114
99,tahu telur asin,tahu,"tahu putih , telur asin , tepung bumbu kobe , air , bawang putih cincang , cabe keriting merah",6,"1) Potong tahu jadi 4 bagian, sisihkan
2) Panaskan penggorengan lalu siapkan tepung bumbu kemudian balurkan tahu ke tepung lalu goreng.Jangan dibolak balik, tunggu sampai warna kecoklatan, balik sekali lalu angkat jika kedua sisi sdh matang
3) Utk saos: ambil bagian kuning telur asin kemudian hancurkan dan beri air
4) Tumis cincang bawang putih dan irisan cabe hingga harum masukkan kuning telur asin, tumis hingga matang dan mengental, matikan kompor.Masukan tahu yg telah digoreng, kemudian tata dipiring
5) Sajikan",5,112
102,seblak telor,telur,"krupuk mentah , telur ayam , batang daun bawang , halus , garam , gula pasir , air , bumbu halus , bawang merah , bawang putih , cabe rawit , kencur",10,"1) Rendam krupuk hingga lunak. Tiriskan..
2) Tumis bumbu halus hingga harum. Masukan krupuk. Aduk rata..
3) Tambahkan air. Tunggu hingga mendidih. Masukkan telur. Aduk rata hingga berbulir. Bumbui dengan garam dan gula pasir.
4) Tambahkan daun bawang. Masak hingga air menyusut..",4,110
103,cah toge telur dadar,telur,"mangkuk taoge , telur , kocok lepas , batang daun bawang , halus , bawang putih , cincang halus , bawang merah , halus , cabe merah , serong , saus tiram , kecap manis , lada , gula , garam kaldu bubuk",10,"1) Dadar telur dgn sedikit garam dan lada. Iris panjang2. Sisihkan
2) Panaskan sedikit minyak, tumis bawang merah+putih, cabe smp harum.
3) Masukkan toge, daun bawang dan telur. Masukkan kan juga bumbu2. Koreksi rasa.
4) Masak smp taoge layu aja biar masi crunchy..",4,110
111,tempe kemul,tempe,"potong tempe , tepung mendoan , bs racik kalo , baca caption , batang kucai , daun bawang , air es , sejumput kunyit kunyit uleg",6,"1) Campur tepung mendoan dengan kunyit dan daun kucai. Aduk rata.
2) Celup tempe lalu goreng dalam minyak panas hingga matang.
3) Sajikan.
4) Enak di makan dengan Mie Ongklok. Resep Mie Ongkloknya sudah di upload ya.",4,107
114,telur dadar simpel,telur,"telur , lada , cabe rawit merah , garam , kaldu bubuk option , tdk , minyak sayur",6,"1) Dadar telur di mangkok, tambahkan cabe rawit, garam & lada bubuk. Kocok hingga tercampur rata.
2) Panaskan wajan, dadar telur & goreng hingga kuning keemasan. Sajikan🤗",2,106
122,kambing kecap,kambing,"sepiring daging kambing dipotong kotak , bawang putih diiris , bawang merah diiris , jahe diiris , cabe rawit diiris , kecap manis , kecap asin , garam , gula , air",6,"1) Tumis bawang putih, bawang merah, jahe, cabe rawit sampai harum dan layu
2) Masukkan daging kambing aduk sampai berubah warna
3) Tambahkan kecap manis, kecap asin, garam, gula dan air secukupnya
4) Ungkep sampai daging empuk. Cicipi
5) Sajikan dg ditaburi bawang goreng",5,102
132,tempe kering teri medan,tempe,"papan tempe , teri medan , daun jeruk , garam , gula merah , muncung gula pasir , bumbu haluskan , cabe merah , bawang putih , bawang merah",10,"1) Potong-potong tempe kecil memanjang, lalu goreng sampai kering
2) Goreng teri medan sampai matang dan kering. (Sebelumya teri medan saya cuci bersih biar ngk terlalu asin, lalu di jemur sampai kering, baru di goreng)
3) Tumis bumbu yang sudah di haluskan, tumis dengan minyak agak sedikit banyak. Tambahkan daun jeruk, gula merah, gula pasir dan garam, aduk rata, masak hingga matang dan bumbu mendidih agak kental. Matikan api lalu masukan tempe dan teri medan yg sudah di goreng tadi, aduk-aduk hingga tercampur rata. Angkat, dan sajikan.",3,96
133,telor balado pete,telur,"telur ayam rebus , kupas kulit , papan pete , serai geprak , daun jeruk , garamgulakaldu jamur , air , bumbu halus , cabe merah keriting , bawang merah , bawang putih",10,"1) Panaskan minyak secukupnya, masukan bumbu halus+sereh+daun jeruk.Tumis sampai wangi. Beri air secukupnya, masukan garam+gula+kaldu jamur. Masukan pete. Masak sampai tidak bau langgu. Tes rasa.
2) Terakhir masukan telor rebus, aduk rata & masak sebentar. Voilaa.. Telor Balado Pete is ready! Uenakk!",2,96
135,bakso sapi,sapi,"daging sapi , tepung kanji , bawang merah goreng , bawang putih , garam , merica bubuk , kaldu bubuk , putih telor , batu es",9,"1) Campur semua bahan dalam choper hingga halus.
2) Didihkan air,beri garam.
3) Ambil adonan bakso dengan bantuan tangan dan sendok,bentuk bulatan kecil.
4) Masukan dalam air mendidih hingga mengapung dan matang",4,96
138,tongkol jengkol balado,ikan,"ikan tongkol potong  , biji jengkol tua , belah , jeruk nipis , ambil air nya , minyak goreng , garam  kaldu jamur , bumbu halus , cabe merah keriting , bawang putih , bawang merah",9,"1) Cuci bersih ikan kemudian lumuri dengan air jeruk nipis&beri sedikit garam diamkan sebentar
2) Panaskan minyak goreng masukan jengkol masak hingga jengkol empuk,buang kulit nya&pipihkan sisihkan kemudian goreng ikan tongkol sampai matang angkat tiriskan
3) Bila minyak terlalu kotor ganti dengan yang baru&masukan bumbu halus tambahkan garam kemudian masak hingga bau langu cabe hilang tambahkan kaldu jamur tes rasa bila sudah pas campur rata tongkol&jengkol dengan bumbu balado salin ke wadah&sajikan",3,94
154,ayam geprek sambal korek,ayam,"ayam potong , bersihkan , tepung bumbu instant , sambal geprek haluskan , bawang putih , cabe rawit , cabe merah , jeruk kunci ambil airnya , gula , garam",8,"1) Bersihkan Ayam, lumuri dengan Tepung Bumbu hingga rata sambil diremas2. Tanpa menambah air, diamkan dalam kulkas min 1 jam. Goreng hingga matang, tiriskan.
2) Haluskan bumbu beri air jeruk kunci, koreksi rasa. Geprek Ayam goreng diatas sambal.
3) Huhaaahhh",3,89
163,tahu cabe garam,tahu,"kotak tahu putih , cabai rawit , bawang putih , tungkai daun bawang , minyak , tepung tapioka , penyedap pake masako",7,"1) Pertama2 potong kotak kecil tahu
2) Lalu masukan tahu kedalam tepung tapioka yang sudah d tambahkan 1 sdm masako aduk2 sampai rata
3) Goreng hingga kecoklatan dan tiriskan
4) Siapkan 1 sdm minyak goreng masukan cabai yang sudah di iris dan bawang putih yg sudah di cop2 hingga harum.masukan tahu aduk rata tambahkan daun bawang yang sudah di iris tipis.dan wallaaaaa angkat makan pake nasi hangat",4,87
165,lele goreng,ikan,"lele , cuka masak , tepung bumbu , air , bumbu halus , bawang putih , kunyit , kemiri , biji ketumbar sangrai , garam",10,"1) Rendam lele dgn bumbu halus yg sdh diberi air dan cuka kurang lebih 15-30 menit
2) Sesaat sblm digoreng, taburi tepung bumbu lalu ratakan
3) Goreng dlm minyak banyak yg sdh panas dgn api sedang, goreng hingga kecoklatan
4) Angkat, sajikan",4,87
176,negi gyudon beef bowl toping daun bawang,sapi,"daging sapi tipis , batang daun bawang , kecap shoyu kikkoman , gula , air",5,"1) Potong daun bawang bagian batangnya sepanjang 2 cm
2) Susun daun bawang di fried pan kecil ditengah2, kemudian taruh daging sapi di sekitar daun bawang
3) Masukkan seluruh bumbu, tutup panci, nyalakan api kecil-sedang dan panaskan selama 5 menit
4) Matikan api, buka tutup panci, angkat dan sajikan",4,84
178,tumis tempe toge,tempe,"papan tempe , genggam toge , bumbu halus , bawang putih , bawang merah , cabe merah , cabe rawit , terasi , garam gula kaldu bubuk , minyak goreng",10,"1) Panaskan minyak, goreng tempe 1/2 matang angkat sisihkan.
2) Gunakan sisa minyak utk menumis bumbu halus hingga wangi. Beri sedikit air, masukkan gula garam kaldu bubuk. Aduk rata.
3) Masukkan tempe. Aduk rata. Masak hingga air menyusut. Masukkan toge, aduk dan masak sebentar saja supaya toge tetap renyah. Angkat dan siap dihidangkan.",4,84
184,tumis sawi putih ati plus telur orak arik debm,telur,"sawi putih potong , ati ayam , telur , bawang merah , bawang putih , cabe rawit merah , cabe merah , penyedap , garam",8,"1) Cuci bersih ati ayam lalu potong kecil2
2) Iris bawang merah, bawang putih, cabe rawit dan cabe merah lalu tumis hingga harum
3) Masukan ati ayam aduk2 sampai berubah warna, lalu masukan telur lalu orak arik
4) Masukan sawi putih lalu aduk,beri secukupnya penyedap, garam lalu aduk hingga bumbu merata dan meresap,
5) Angkat dan sajikan.",5,83
186,tahu crispy,tahu,"tahu putih kotak pc , bawang putih haluskan , tepung tapioka , tepung instan sasa , kaldu ayam bubuk , sejumput garam , air",7,"1) Tahu dipotong dadu kecil2, cuci bersih dan tiriskan
2) Rendam tahu dengan bawang putih yg sudah dihaluskan dan beri sedikit air, tambahkan garam sejumput, diamkan -+15 sampai 20 menit (supaya bumbu meresap)
3) Dlm 1 wadah masukan tapioka, tepung instan dan kaldu ayam / sapi bubuk (selera) aduk merata
4) Panaskan minyak dlm wajan, dan ambil beberapa tahu lalu lumuri dengan adonan kering tepung campuran tadi, goreng dgn minyak panas namun api kecil, lakukan sampai habis, dan bisa disajikan dengan taburan bubuk cabai atau bubuk perasa lainnya. selesai",4,82
187,chicken terriyaki saos lada hitam,ayam,"dada ayam fillet , potong kotak memanjang , saos teriyaki saori , saos lada hitam saori , bawang putih , rajang halus , bawang bombai , memanjang , cabe rawit , serong , kecap",7,"1) Rendam ayam dengan saos teriyaki dan lada hitam 15menit
2) Tumis bawang putih dan bawang bombai sampai harum,masukkan irisan cabe
3) Masukkan dada ayam beserta soos rendaman,tambahkan kecap,aduk lalu beri air secukupnya
4) Masak hingga ayam matang dan air menyusut,angkat. Sajikan",4,82
195,dadar telor cah toge,telur,"telur , semangkuk toge , bawang merah , bawang putih , cabe rawit , btng daun bawang , kecap manis , saus tiram , garam  merica bubuk",9,"1) Buat dadar telor,lalu iris².
2) Panaskan minyak,tumis duo bawang sampai layu & harum,tambahkan cabe,aduk,masukkan irisan telor,bumbui garam,merica bubuk,kecap & saus tiram,aduk rata.
3) Masukkan toge & daun bawang,masak sebentar saja agar toge masih kres. Jangan lupa koreksi rasanya yaa...
4) Angkat & sajikan selagi hangat. Simpel,cepat,dan tentu saja enaak...
5) Saya udah prnh setor resep ini ke mba Vy pas lagi booming",5,81
199,nasi goreng salmon,ikan,"salmon fillet , potong dadu , porsi nasi , garam , kecap manis , lada , bawang putih haluskan , bawang merah haluskan",7,"1) Tumis sebagian bawang putih dan sedikit garam dengan 2 sdm minyak sayur. Kemudian masukkan salmon fillet yang sudah dipotong dadu sampai matang. Kemudian sisihkan
2) Lalu masukkan kembali 2sdm minyak sayur lalu tumis sebagian lagi bawang putih, bawang merah, garam sampai wangi lalu masukkan kecap manis kemudian terakhir masukkan nasi dan beri lada sesuai selera. Ratakan
3) Kalau rasa uda enak. Masukkan ikan salmon, tumis kembali sampai menyatu. Lalu angkat
4) Nasi goreng salmon siap disantap",4,80
202,stick tempe goreng telur,tempe,"papan papan tempe , telur , tepung terigu , bawang putih uleg halus , kaldu bubuk me ayam , merica , garam",7,"1) Kukus tempe, kemudian potong-potong memanjang seperti stick.
2) Kocok telur, tepung terigu, merica, garam, kaldu bubuk ayam, bawang putih yang sudah di uleg. Asal saja, biarkan tetap ada gerindil-gerindilnya.
3) Masukkan tempe ke kocokan telur tadi kemudian goreng satu per satu dengan api sedang sampai kuning keemasan.
4) Angkat dan tiriskan. Stick Tempe Goreng Telur siap disantap.",4,80
205,tahu gejrot cirebon,tahu,"tahu pong tahu sumedang , bawang merah , bawang putih , cabe hijau , cabe rawit , gula merah , garam , jeruk sambal me jeruk limau , air matang",9,"1) Goreng tahu sebentar. Tiriskan.
2) Ulek mulai dari cabe rawit & cabe hijau kecil, setelah agak halus ulek kasar duo bawang. Lalu ulek gula merah. Bumbui dan beri sedikit air.
3) Siram kuah diatas tahu pong yang sudah dipotong jadi 4 bagian. Sajikan.",4,79
210,cah toge telur variasi paprika,telur,"toge , telur , paprika hijau , wortel , bawang putih , kecap asin , saus tiram , garam lada , minyak sayur",9,"1) Iris paprika hijau, serut wortel dan geprek bawang putih lalu iris tipis. Aduk telur dalam wadah terpisah dan tambahan garam lada
2) Panaskan wajan dgn minyak sayur dgn api sedang. Masukkan bawang putih, tumis bentar kemudian masukkan telur. Setelah 30 detik Tumis kasar
3) Masukkan seluruh sayuran, tumis sekitar 3 menit dgn api besar
4) Masukkan kecap asin dan saus tiram, tumis lagi sekitar 2 menit.
5) Segera angkat dan sajikan",5,78
218,pindang telur teh celup,telur,"telur , rebus kupas kulitnya , kantong teh celup , kecap manis , gula merah sisir , gula pasir , serai geprek , daun salam , daun jeruk , ltr air , garam , kaldu bubuk",10,"1) Masukan semua bahan ke dalam panci,lalu rebus sampe air menyusut.
2) Kemudian angkat lalu siap di hidangkan.
3) Rasanya enak...
4) Happy Cooking..",4,76
225,tahu rambutan bola crispy,tahu,"potong tahu dihaluskan , telur puyuh , tepung terigu , keping mie diremas , telur ayam dikocok lepas , wortel potong dadu , daun bawang , garam , lada",9,"1) Campur tepung terigu, tahu, wortel, daun bawang dan penyedap (garam dan merica)
2) Lalu ambil bagian adonan, pipihkan dan masukkan telur puyuh pada bagian tengahnya.
3) Bentuk bulat, lalu beri telur dan lumuri dengan mie yang sudah diremas.
4) Masukkan selama 25-30menit dalam kulkas, setelah itu bola2 siap dimasak dalam api sedang. Selamat Mencoba!",4,75
229,perkedel tahu kari telur,tahu,"tahu , bumbu kari instant indofood , munjung tepung beras , munjung tepung tapioka kanji aci , batang daun bawang , halus , garam",6,"1) Campur semua bahan jadi satu. Koreksi rasanya. Cetak dgn bantuan 2 sendok lalu goreng pd minyak panas dgn api sedang sampai kuning kecoklatan. Angkat, tiriskan, sajikan....",1,75
240,kuah bakso sapi ala rumahan,sapi,"bakso sapi makan frozen food , batang daun bawang , batang daun seledri , bawang goreng , bawang putih , merica bubuk , garam , kemiri , papan mie merek cap ayam",9,"1) Haluskan bawang putih, kemiri, garam dan lada
2) Tumis bumbu halus sampai wangi, lalu tiriskan
3) Masak air di dalam panci sampai mendidih, lalu masukkan bumbu halus, tambahkan garam gula dan merica bubuk lagi jika dirasa masih kurang pas
4) Masukkan bakso sapi siap makn ke dalam panci, daun bawang dan seledri, masak sebentar
5) Sajikan di mangkuk selagi hangat, ditambah dengan mie kuning rebus, bawang goreng dan sambal sebagai pelengkap",5,72
249,udang goreng mentega,udang,"udang segar , perasan jeruk nipis , margarin mentega , bawang bombai diiris , bawang putih digeprek , kecap inggris , kecap manis",7,"1) Cuci dan kupas udang, buang kepalanya, lalu belah tengah badannya. Tetesi perasan jeruk nipis dan diamkan selama 15 menit.
2) Goreng udang dengan minyak panas hingga berubah warna dan merekah. Lalu tiriskan.
3) Panaskan mentega/ margarin. Tumis bawang putih dan bawang bombay hingga harum. Masukkan udang. Tambahkan kecap inggris dan kecap manis. Aduk. Test rasa (bila diperlukan, tambah penyedap). Aduk rata lagi, sebentar saja.
4) Sajikan. Selamat mencoba dan semoga bermanfaat :)",4,71
272,parmesan hot chicken wing keto,ayam,"sayap ayam , tiriskan , olive oil , cuka apel , himalayan salt , lada , cayenne pepper cabai bubuk , paprika powder , dry oregano , bawang putih powder , keju parmesan",10,"1) Campur dan aduk semua bahan di atas jadi satu, lalu masukan sayap ayamnya
2) Remas-remas ayam hingga menyatu dengan bumbu lalu biarkan hingga bumbu terserap sempurna, sumpan dalam kulkas minimal 3 jam (saya semalaman)
3) Panggang sayap ayam dalam oven dengan suhu 250° selama 25-30 menit, 10 menit pertama, balik, lalu panggang sisi satunya hingga kedua sisi matang sempurna
4) Enjoooy",4,67
274,simple spicy beef curry keto,sapi,"daging sapi , lemak sapi , bumbu kari instant merk  bamboe  , himalayan salt , bawang goreng , irisan cabe rawit , cabai bubuk",7,"1) Rebus daging sapi hingga empuk jangan buang air rebusannya, sisihkan
2) Di panci berbeda rebus lemak sapi kemudian buang air rebusannya berkali-kali hingga benar2 sudah tak ada aroma bau sapi nya, tiriskan, cuci dengan air bersih, tiriskan kembali
3) Di panci habis merebus daging tadi beserta kaldunya, tambahkan secukupnya air, masukkan lemak sapi kedalamnya, tambahkan air bila perlu hingga merendam seluruh daging dan lemak
4) Masukkan bumbu kari instant, cabe bubuk, irisan cabe rawit, dan santan, lalu masukkan garam, aduk rata, cicipi rasanya, bila kurang asin, tambahkan lagi garamnya
5) Masak diatas api kecil sampai mendididih, biarkan mendidih hingga 5 menit, matikan api, taburi dengan bawang goreng",5,67
276,orak arik telur bunga daun bawang,telur,"batang bunga daun bawang , potong , telur , kocok lepas , garam , merica bubuk , bawang merah , bawang putih , tomat , cabe merah keriting , cabe rawit orens , gula , garam , kecap manis",10,"1) Bubuhi kocokan telur dengan secukupnya garam dan merica. Tipis2 saja karena nanti di tumis akan di beri garam lagi. Yang penting tidak hambar. Lalu masak buat orak arik. Sisihkan.
2) Tumis bumbu iris hingga wangi. Masukan bunga daun bawang. Masak sebentar hingga agak layu.
3) Masukan telur orak arik. Beri gula, garam dan kecap manis. Aduk rata.
4) Sajikan. Pake nasi panas udah enak pisan ini.",4,67
282,tempe orek kacang panjang,tempe,"papan tempe , potomg potong , bawang putih , bawang merah , cabe keriting merah , keping kemiri , lada , kecap manis , kacang panjang",8,"1) Goreng tempe sampai kering
2) Potong-potong kacang panjanh, cuci bersih
3) Ulek duo bawang, kemiri, cabe sampai halus.
4) Tumis bumbu halus sampai wangi, masukan kacang panjang. Beri air jangan terlalu banyak. Biarkan sampai kacamh panjang layu dan matang.
5) Masukan tempe, kecap, lada Bubuk. Aduk terua sampai kecap terbagi rata. Koreksi rasa. Sajikan.",5,66
299,gorengan tempe renyah,tempe,"papan tempe potong papan tipis , tepung terigu , tepung beras , tepung tapioka , soda kue backing powder , penyedap , air",7,"1) Campur semua bahan menjadi satu, aduk hingga rata. Tambahkan air secukupnya, jangan terlalu kental dan encer. Celupkan tempe, goreng hingga kuning kecoklatan. Angkat dan sajikan",1,65
301,bakso sapi kenyal memakai daging frozen recook fitri sasmaya,sapi,"daging sapi fresh from freezer , tapioka , garam , es batu serut , bawang putih , haluskan , putih telur , air merebus bakso , merica , baking powder",9,"1) Cacah daging, haluskan bersama es batu serut dengan menggunakan food processor. Tambahkan tapioka, bawang putih, garam dan putih telur. Koreksi rasa.
2) Didihkan air. Kecilkan api. Buat bulatan bakso sesuai selera (suami sukanya kecil2^^) dengan menggunakan tangan. Masukkan dalam air mendidih. Buat sampai adonan habis. Tutup panci dan besarkan api. Biarkan sampai bakso muncul ke permukaan air semua.
3) Angkat dan tiriskan. Masukkan ke dalam air dingin beberapa saat. Angkat dan tiriskan.
4) Siap dicemil atau diolah selanjutnya...",4,65
308,tongseng kambing goreng,kambing,"daging kambing tulang , cabe rawit , bawang merah , bawang putih , minyak goreng , garam , kecap manis bango",7,"1) Rebus daging (saya pake presto) 15 menit.
2) Ulek semua bumbu cabe rawit, bawang merah dan putih sampe halus
3) Siapkan minyak goreng untuk menumis bumbu ulek (saya pake minyak agak banyak agar hasil masakan oily gitu)
4) Tumis bumbu sampai harum, tambahkan air sedikit, masukan daging. masukan kecap. masak sampai air surut dan terlihat minyak minyak menyatu dengan bumbu
5) Angkat. simpan dipiring saji.",5,64
